Rol;Razón Social;Rubro;Imp. Económica;Región;Situación;Estado
4331;COOPERATIVA DE TRABAJO SEMILLERO COCHAMÓ;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4334;COOPERATIVA FAMILIAR DE PESCADORES ASCENSION, NOMBRE DE FANTASIA COOFAPA;Producción y Trabajo.;NO;11 Aisén;Activa;Vigente
4343;COOPERATIVA DE TRABAJO GOOD FOOD;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4345;COOPERATIVA DE TRABAJO SAN BENITO DE LAS CONDES;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4349;COOPERATIVA DE TRABAJO CONFITEROS DE SANTIAGO;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4356;"COOPERATIVA DE TRABAJO DE SERVICIOS INTEGRALES DE SALUD ""COOPMEDICAL LTDA"".";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4359;"COOPERATIVA DE TRABAJO REGIONAL DE LA DISCAPACIDAD LIMITADA DE SIGLA ""COOREDIS LTDA.""";Producción y Trabajo.;NO;09 Araucanía  ;Activa;Vigente
4362;COOPERATIVA DE TRABAJO EN SERVICIOS DE TRANSPORTE Y TURISMO SITRACOL;Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4363;COOPERATIVA DE TRABAJO ALFARERO DE BARRANCAS;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4364;"COOPERATIVA DE TRABAJO SERVICIOS PROFESIONALES INTEGRALES, NOMBRE DE FANTASIA ""SERPROINCO""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4375;"COOPERATIVA DE TRABAJO PRODUCTORES AGRICOLAS Y FAMILIAS DE CHADA DE SIGLA ""COOPCHADA""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4376;COOPERATIVA DE TRABAJO AGRÍCOLA Y MADERERA CAÑETE LTDA.;Trabajo;NO;08 Biobío  ;Activa;En Formacion
4380;"COOPERATIVA DE TRABAJO DE CONSULTORIA Y CAPACITACION CONTACTO CREATIVO LIMITADA ""CONSULTORA CONTACTO CRETIVO""";Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4381;"COOPERATIVA DE TRABAJADORES COOPETRA ""COOPETRAMI""";Producción y Trabajo.;NO;06 O'Higgins  ;Activa;Vigente
4382;COOPERATIVA DE ARTESANOS ARTIERRA LIMITADA;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4383;COOPERATIVA DE ARTESANOS GUAYACAN;Producción y Trabajo.;NO;04 Coquimbo  ;Activa;Vigente
4388;COOPERATIVA DE TRABAJO NUEVA ALDEA;Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4392;COOPERATIVA DE TRABAJO MOVIDECO;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4393;COOPERATIVA DE TRABAJO ARTEQUIN;Producción y Trabajo.;NO;13 Metropolitana;Activa;Vigente
4396;"COOPERATIVA COMERCIALIZADORA E IMPREGNADORA DE MADERAS LAS CORRIENTES CONSTITUCIÓN ""CIMACO COOP""";Producción y Trabajo.;NO;08 Biobío  ;Activa;Vigente
4397;"COOPERATIVA DISTRIBUIDORA DE ALIMENTOS MARINOS ""COODISAMAR""";Producción y Trabajo.;NO;05 Valparaíso  ;Activa;Vigente
4400;COOPERATIVA DE TRABAJO UNIÓN Y ESFUERZO;Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4401;"COOPERATIVA DE TRABAJO BURBUJAS MARINAS, DE SIGLA ""MARBUJAS""";Producción y Trabajo.;NO;10 Los Lagos  ;Activa;Vigente
4402;COOPERATIVA DE TRABAJO NUCLEO;Trabajo;NO;13 Metropolitana;Activa;En Formacion
